month,bidding_no,vehicle_class,premium
2019-04,1,Close,53989
2019-04,1,Low,1896
2019-04,2,Open,64201
2019-04,2,High,91000
2019-04,2,Close,57589
2019-04,2,Low,1924
2019-05,1,Open,62600
2019-05,1,High,92050
2019-05,1,Close,58553
2019-05,1,Low,2021
2019-05,2,Open,58001
2019-05,2,High,85216
2019-05,2,Close,57106
2019-05,2,Low,1890
2019-06,1,Open,59003
2019-06,1,High,83000
2019-06,1,Close,54522
2019-06,1,Low,1912
2019-06,2,Open,59004
2019-06,2,High,85400
2019-06,2,Close,54502
2019-06,2,Low,1712
2019-07,1,Open,59421
2019-07,1,High,82289
2019-07,1,Close,55556
2019-07,1,Low,1760
2019-07,2,Open,68656
2019-07,2,High,90501
2019-07,2,Close,55805
2019-07,2,Low,1859
2019-08,1,Open,73501
2019-08,1,High,94502
2019-08,1,Close,57001
2019-08,1,Low,2081
2019-08,2,Open,66889
2019-08,2,High,88002
2019-08,2,Close,59334
2019-08,2,Low,2013
2019-09,1,Open,68000
2019-09,1,High,80191
2019-09,1,Close,57334
2019-09,1,Low,1801
2019-09,2,Open,63000
2019-09,2,High,88500
2019-09,2,Close,57809
2019-09,2,Low,1852
2019-10,1,Open,69000
2019-10,1,High,80001
2019-10,1,Close,56001
2019-10,1,Low,1912
2019-10,2,Open,71001
2019-10,2,High,85801
2019-10,2,Close,57889
2019-10,2,Low,1920
2019-11,1,Open,77201
2019-11,1,High,92400
2019-11,1,Close,59111
2019-11,1,Low,1959
2019-11,2,Open,77291
2019-11,2,High,93004
2019-11,2,Close,60235
2019-11,2,Low,1689
2019-12,1,Open,78523
2019-12,1,High,90200
2019-12,1,Close,63035
2019-12,1,Low,1612
2019-12,2,Open,81889
2019-12,2,High,93501
2019-12,2,Close,62201
2019-12,2,Low,1701
